timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652982897617,2339,gRPC-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[100-100-10] 2-3,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=100,0,0,2220
1652982897600,2354,REST-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[100-100-10] 5-9,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=100,0,0,2228
1652982899355,592,REST-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[1000-100-10] 6-99,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,471
1652982897604,2346,REST-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[100-100-10] 5-22,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=100,0,0,2220
1652982897479,2477,REST-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[100-100-10] 5-21,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=100,0,0,2345
1652982897563,2367,gRPC-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[100-100-10] 2-2,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=100,0,0,2260
1652982897555,2374,gRPC-[1-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[1-100-10] 1-9,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1,0,0,2266
1652982897479,2453,gRPC-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer (connect failed),gRPC-[100-100-10] 2-28,text,false,,2360,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=100,0,0,2453
1652982897480,2464,REST-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[100-100-10] 5-31,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=100,0,0,2351
1652982897570,2387,REST-[1-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[1-100-10] 4-69,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=1,0,0,2255
1652982897601,2352,gRPC-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[1000-100-10] 3-46,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,2215
1652982897978,1971,REST-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[100-100-10] 5-70,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=100,0,0,1846
1652982897587,2358,gRPC-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[1000-100-10] 3-65,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,2237
1652982897601,2328,REST-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[1000-100-10] 6-29,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,2225
1652982897555,2388,gRPC-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[1000-100-10] 3-8,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,2265
1652982897609,2334,gRPC-[100-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),gRPC-[100-100-10] 2-67,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=100,0,0,2222
1652982897601,2324,REST-[1-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[1-100-10] 4-79,text,false,,2374,0,100,600,http://localhost:5001/rest/hotelDataObjects?count=1,0,0,2221
1652982897577,2352,REST-[1000-100-10] Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe (Write failed),REST-[1000-100-10] 6-7,text,false,,2374,0,100,600,http://localhost:5001/grpc/hotelDataObjects?count=1000,0,0,2239
